Nama Tempat,Jenis Tempat uc,Alamat,Jam Operasional,Rating,Jumlah Review,telepon,Ketersediaan Telepon,Website,Latitude,Longitude,Ketersediaan Akses,Aksesibilitas Difabel
Vihara Vajrabodhi,Vihara,"Jl. Raya Pajajaran No.1, RT.04/RW.01, Sukasari, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16142",Buka 24 jam,"4,6",126,"
(0251) 8322542",Ada,Tidak Tersedia,-6.6206555,106.8166841,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Vihara Kwan Kong,Vihara,"GQ92+HV2, Unnamed Road,, Tonjong, Kec. Tajur Halang, Kabupaten Bogor, Jawa Barat 16320",Buka 24 jam,"4,6",9,,Tidak Ada ,Tidak Tersedia,-6.4811141,106.7521462,Aksesibilitas Tersedia,[]
Vihara Buddhasena,Vihara,"Jl. Batu Tulis No.6, Bondongan, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16131",,"4,8",111,"
(0251) 8351844",Ada,Tersedia,-6.6168776,106.8096452,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Klenteng Hok Tek Bio Ciampea,Tempat Ibadah,"FM6W+4H4, Jl. Raya Letnan Sukarna Jl. Raya Ps. Ciampea, Ciampea, Kec. Ciampea, Kabupaten Bogor, Jawa Barat 16620",,"4,3",248,"
(0251) 8629901",Ada,Tidak Tersedia,-6.5397425,106.6964457,Aksesibilitas Tersedia,[]
Klenteng Pankho,Pelestarian Situs Peninggalan,"Jl. Pulo Geulis No.18, RT.02/RW.04, Babakan Ps., Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16126",09.00 hingga 17.00,"4,8",170,"
0812-9608-5740",Ada,Tidak Tersedia,-6.6050613,106.803669,Aksesibilitas Tersedia,[]
Jhana Manghala Meditasi Graha Centre,Vihara,"Jl. Terobosan, Cipayung Datar, Kec. Megamendung, Kabupaten Bogor, Jawa Barat 16770",08.00 hingga 18.00,"4,6",32,"
0816-780-090",Ada,Tidak Tersedia,-6.6435094,106.8784753,Aksesibilitas Tersedia,[]
Vihara Dhanagun (Hok Tek Bio) Bogor,Vihara,"RT.03/RW.07, Babakan Ps., Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16126",08.00 hingga 17.00,"4,8",271,"
(0251) 8381650",Ada,Tidak Tersedia,-6.6033707,106.7991851,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Vihara dharma pertiwi,Vihara,"Jl. Kb. Pala No.63, Gudang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 13320",,"5,0",14,,Tidak Ada ,Tidak Tersedia,-6.6080072,106.8007082,Aksesibilitas Tersedia,[]
BUDDHA SLEEPING VIHARA,Vihara,"Jl. PWRI No.15, Tonjong, Kec. Tajur Halang, Kabupaten Bogor, Jawa Barat 16320",,"4,9",11,"
0859-2993-6142",Ada,Tidak Tersedia,-6.4840666,106.7482659,Aksesibilitas Tersedia,[]
Sian Jin Ku Pho Temple,Vihara,"FR4H+4M7, Jl. Ps. Ciluar, Pasirlaya, Kec. Sukaraja, Kabupaten Bogor, Jawa Barat 16710",Buka 24 jam,"4,8",36,"
(0251) 8651462",Ada,Tidak Tersedia,-6.5447006,106.8291728,Aksesibilitas Tersedia,[]
Vihara Pusdiklat Kasih Alam Maitreya,Vihara,"Jl. Raya Ciapus No.270, Kota Batu, Kec. Ciomas, Kabupaten Bogor, Jawa Barat 16610",,"4,8",32,,Tidak Ada ,Tidak Tersedia,-6.626141,106.7794753,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Vihara Sian Jin Ku Poh,Vihara,"Jl.PWRI KM 36 Rt.02/06 Jati, Tonjong, Kec. Tajur Halang, Kabupaten Bogor, Jawa Barat 16320",,"4,8",326,,Tidak Ada ,Tersedia,-6.4814371,106.7497304,Aksesibilitas Tersedia,[]
Bio Dewa Rejeki Sentul,Tempat Ibadah,"Jl. Sumur Batu Raya No.50, Sumur Batu, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810",,"4,6",31,,Tidak Ada ,Tidak Tersedia,-6.565384,106.8674786,Aksesibilitas Tersedia,[]
Vihara Ti Cang Tien Yayasan Dharma Bakti Utama Toko Khanti,Vihara,"Jl. Raya Cipaku, RT.02/RW.12, Cipaku, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16133",09.00 hingga 05.00,"4,6",11,,Tidak Ada ,Tidak Tersedia,-6.6402782,106.8145661,Aksesibilitas Tersedia,[]
Vihara Saddharma (Myohoji) NSI,Vihara,"9P2W+6J2, Sukaluyu, Kec. Tamansari, Kabupaten Bogor, Jawa Barat 16610",,"4,8",48,"
(0251) 8487033",Ada,Tidak Tersedia,-6.6494965,106.7465279,Aksesibilitas Tersedia,[]
Vihara Vimalakirti,Vihara,"Jl. Merak No.27, RT.05/RW.03, Tanah Sareal, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16161",,"4,8",20,,Tidak Ada ,Tidak Tersedia,-6.5723977,106.8012339,Aksesibilitas Tersedia,[]
VIHARA KARUNA BODHI CIAMPEA,Vihara,"FM4V+XWM, Ciampea, Kec. Ciampea, Kabupaten Bogor, Jawa Barat 16620",Tutup,"5,0",5,,Tidak Ada ,Tidak Tersedia,-6.5425418,106.6947958,Aksesibilitas Tersedia,[]
Vihara Dharmakaya,Vihara,"9RQ4+6MP, RT.02/RW.04, Sukasari, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16142",,"4,8",27,,Tidak Ada ,Tidak Tersedia,-6.6119055,106.8066992,Aksesibilitas Tersedia,[]
MAHAVIRYA ARAMA,Vihara,"Jl. Raya Puncak - Cianjur No.55, Gadog, Kec. Megamendung, Kabupaten Bogor, Jawa Barat 16770",,"4,7",35,"
0815-8568-1955",Ada,Tidak Tersedia,-6.6547732,106.8602981,Aksesibilitas Tersedia,[]
Vihara Naca,Vihara,"Tonjong, Kec. Tajur Halang, Kabupaten Bogor, Jawa Barat 16320",07.00 hingga 00.00,"4,5",12,"
0813-9863-4167",Ada,Tidak Tersedia,-6.4820385,106.7489847,Aksesibilitas Tersedia,[]
Pura Vira Çanti Dharma PMPP TNI,Pura,"FVGG+RMR, Sukahati, Kec. Citeureup, Kabupaten Bogor, Jawa Barat 16810",,"4,9",22,,Tidak Ada ,Tidak Tersedia,-6.5228799,106.8766254,Aksesibilitas Tersedia,[]
Pura Saraswati Asrama Bali Bogor,Pura,"Jl. Cikurai No.10, RT.04/RW.03, Babakan, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16153",Buka 24 jam,"4,7",23,"
(0251) 8335931",Ada,Tidak Tersedia,-6.5851864,106.8015414,Aksesibilitas Tersedia,[]
Pura Prajapati Kota Bogor ᬧᬸᬭᬧ᭄ᬭᬚᬧᬢᬶᬓᭀᬢᬩᭀᬕᭀᬃ᭟,Pura,"9R47+F7V, RT.01/RW.15, Cipaku, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16133",Buka 24 jam,"4,9",10,,Tidak Ada ,Tidak Tersedia,-6.6437707,106.8131778,Aksesibilitas Tersedia,[]
Pura Angkasa Amertha Dharma Jati,Pura,"Jl. Salabenda Raya, Atang Senjaya, Kec. Kemang, Kabupaten Bogor, Jawa Barat 16310",Tutup,"4,5",51,"
0856-5139-1128",Ada,Tersedia,-6.5335511,106.7612422,Aksesibilitas Tersedia,[]
Pura Bojong Gede,Taman,"GQ6F+CC5, Jl. Raya Medan, Tajurhalang, Kec. Tajur Halang, Kabupaten Bogor, Jawa Barat 16320",Buka 24 jam,"4,2",17,,Tidak Ada ,Tidak Tersedia,-6.4889956,106.7736108,Aksesibilitas Tersedia,[]
Pura Melanting Gunung Salak,Pura,"8PJP+M52, Unnamed Road, Tamansari, Bogor Regency, West Java 16610",09.00 hingga 17.00,"4,9",75,,Tidak Ada ,Tidak Tersedia,-6.6683649,106.7353826,Aksesibilitas Tersedia,[]
Pura Melanting Pasar Agung Gunung Salak Bogor,Pura,"8PHP+Q5V, Jalan, Tamansari, Bogor Regency, West Java 16610",Buka 24 jam,"4,7",18,"
0823-1123-7573",Ada,Tidak Tersedia,-6.6705111,106.7354246,Aksesibilitas Tersedia,[]
Pura Raditya Dharma Cibinong,Pura,"Jl. Caduad Asrama No.7, Cibinong, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16911",Buka 24 jam,"4,8",56,,Tidak Ada ,Tidak Tersedia,-6.4775412,106.8461237,Aksesibilitas Tersedia,[]
Pancuran 7 Sudhamala Pura Melanting Ciapus,Pura,"8PJP+P44, Tamansari, Kec. Tamansari, Kabupaten Bogor, Jawa Barat 16610",Buka 24 jam,"5,0",4,,Tidak Ada ,Tidak Tersedia,-6.6682364,106.7353397,Aksesibilitas Tersedia,[]
Persatuan Gojek Pura,Pura,"GQ7F+PVM, Tajurhalang, Kec. Tajur Halang, Kabupaten Bogor, Jawa Barat 16320",Buka 24 jam,"5,0",17,"
(0251) 8551653",Ada,Tidak Tersedia,-6.4856588,106.7746861,Aksesibilitas Tersedia,[]
Pura Giri Kusuma,Pura,"Jl. Pawon No.34, RT.03/RW.10, Tanah Baru, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16154",Buka 24 jam,"4,8",101,,Tidak Ada ,Tidak Tersedia,-6.59132,106.8180431,Aksesibilitas Tersedia,[]
Pura Tribrata,Pura,"7R79+6PM, Komplek Sekolah Polisi Negara (SPN) Polda Metro Jaya, Jl. Raya Sukabumi, Srogol, Kec. Cigombong, Kabupaten Bogor, Jawa Barat 16138",Buka 24 jam,"4,8",15,"
0813-1492-4266",Ada,Tidak Tersedia,-6.736905,106.8192817,Aksesibilitas Tersedia,[]
Pura Parahyangan Agung Jagatkarta,Pura,"8PJP+C5W, Tamansari, Kec. Tamansari, Kabupaten Bogor, Jawa Barat 16610",Buka 24 jam,"4,8",1.58,,Tidak Ada ,Tidak Tersedia,-6.6688984,106.7354632,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Gapura Kp. Sawah,Pura,"9RWC+5MG, Jl. Kp. Sawah, RT.05/RW.07, Cimahpar, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16144",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.6045638,106.8217154,Aksesibilitas Tersedia,[]
Pura Bhuminatha Sakti ᮕᮥᮛ ᮘ᮪ᮠᮥᮙᮤᮔᮒ᮪ᮠ ᮞᮊ᮪ᮒᮤ,Pura,"CRP8+HXG, Jl. Raya Bogor, RT.01/RW.05, Cibuluh, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16151",Buka 24 jam,"4,8",22,,Tidak Ada ,Tidak Tersedia,-6.5635504,106.8174561,Aksesibilitas Tersedia,[]
Warung Kopi Pura Ciapus,Tujuan Wisata,"8PMM+HXF, Tamansari, Kec. Tamansari, Kabupaten Bogor, Jawa Barat 16610",,"4,4",261,,Tidak Ada ,Tidak Tersedia,-6.6660736,106.7349181,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Pura Gunung Salak ORG,Pusat kebudayaan,"Jl. Gn. Malang, Sukajadi, Kec. Tamansari, Kabupaten Bogor, Jawa Barat 16610",10.00 hingga 17.00,"4,9",17,"
0817-0335-6564",Ada,Tersedia,-6.6689266,106.7354211,Aksesibilitas Tersedia,[]
Masuk Pura Gunung Salak,Pura,"8PQM+FW9, Tamansari, Kec. Tamansari, Kabupaten Bogor, Jawa Barat 16610",Buka 24 jam,"4,0",1,,Tidak Ada ,Tidak Tersedia,-6.6615515,106.7348767,Aksesibilitas Tersedia,[]
Parahyangan Jagadkarta Gunung Salak Taman Sari Bogor,Pura,"8PJP+H38, Unnamed Rd, Tamansari, Kec. Tamansari, Kabupaten Bogor, Jawa Barat 16610",,"4,8",51,,Tidak Ada ,Tidak Tersedia,-6.6685877,106.7351957,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Kautsar,Masjid,"Taman Kanak-Kanak Islam Al-Kautsar, Jl. Raya Cikoneng No.312, RT.01/RW.04, Cikoneng, Kec. Cikoneng, Kabupaten Ciamis, Jawa Barat 46261",04.00 hingga 22.00,"4,7",168,,Tidak Ada ,Tidak Tersedia,-7.3095667,108.2670316,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Jami Al Mansur,Masjid,"jln. gegempalan .Dsn.babakan. 46261, Cikoneng, Kec. Cikoneng, Kabupaten Ciamis, Jawa Barat 46261",,"4,8",11,,Tidak Ada ,Tidak Tersedia,-7.3159543,108.2758121,Aksesibilitas Tersedia,[]
Masjid Al-muhtar,Masjid,"V68R+8M8, dusun kaliaren desa, Banjarangsana, Kec. Panumbangan, Kabupaten Ciamis, Jawa Barat 46263",Buka 24 jam,"4,7",9,,Tidak Ada ,Tidak Tersedia,-7.1342022,108.2416961,Aksesibilitas Tersedia,[]
Masjid Agung Desa Gunungsari,Masjid,"P8W6+42R, Jl. Gn. Sari, Gunungsari, Kec. Sadananya, Kabupaten Ciamis, Jawa Barat 46256",,"4,6",21,,Tidak Ada ,Tidak Tersedia,-7.2546448,108.3100107,Aksesibilitas Tersedia,[]
Masjid Jami At-Taqwa Sindanghurip,Masjid,"V69G+HVF, Sindangmukti, Kec. Panumbangan, Kabupaten Ciamis, Jawa Barat 46263",,"4,6",18,"
0878-3006-0469",Ada,Tidak Tersedia,-7.1310746,108.2271829,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Jami Babussalam,Masjid,"Jl. Bojonghuni, Maleber, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46214",,"4,9",11,,Tidak Ada ,Tidak Tersedia,-7.3203306,108.3406479,Aksesibilitas Tersedia,[]
Masjid Besar Baitul Huda Rajadesa,Masjid,"RC8M+VR6, Jalan Raya, Sirnabaya, Rajadesa, Ciamis Regency, West Java 46254",Buka 24 jam,"4,7",367,"
0882-1492-7379",Ada,Tidak Tersedia,-7.1828468,108.4345165,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami Al Falah,Masjid,"W77P+GMH, Jl. Banyuhurip, Cibeureum, Kec. Sukamantri, Kabupaten Ciamis, Jawa Barat 46264",,"5,0",11,,Tidak Ada ,Tidak Tersedia,-7.0861813,108.2867191,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Mesjid At Taqwa,Masjid,"M8PP+MV3, Kereteg, Mekarjadi, Sadananya, Mekarjadi, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46256",Buka 24 jam,"4,6",21,,Tidak Ada ,Tidak Tersedia,-7.3133716,108.3371739,Aksesibilitas Tersedia,[]
Masjid Jamie Al - Ikhlas,Masjid,"RT.04 rw02/RW.Banjarpinang, Jayagiri, Kec. Panumbangan, Kabupaten Ciamis, Jawa Barat 46258",,"4,6",27,"
0877-4560-2874",Ada,Tidak Tersedia,-7.1427503,108.244255,Aksesibilitas Tersedia,[]
Masjid Baiturrahim,Masjid,"P8J7+88V, Jl. Sadananya, Sadananya, Kec. Sadananya, Kabupaten Ciamis, Jawa Barat 46256",,"4,7",34,,Tidak Ada ,Tidak Tersedia,-7.2691278,108.3133089,Aksesibilitas Tersedia,[]
Mesjid Besar Sukamantri,Masjid,"W77J+4V4, Sukamantri, Kec. Sukamantri, Kabupaten Ciamis, Jawa Barat 46264",,"4,6",134,,Tidak Ada ,Tidak Tersedia,-7.087236,108.282207,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jamie Al Maqbul,Masjid,"Jl. Ciptomangunkusumo No.kRw 23, Ciamis, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46211",Buka 24 jam,"4,5",57,,Tidak Ada ,Tidak Tersedia,-7.3337945,108.354968,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Cut Nya'dien,Masjid,"M7Q7+F3F, Jl. Wanasigra, Cikoneng, Kec. Cikoneng, Kabupaten Ciamis, Jawa Barat 46261",,"4,6",14,,Tidak Ada ,Tidak Tersedia,-7.3113122,108.2626716,Aksesibilitas Tersedia,[]
Masjid Jami Al-Hidayah,Masjid,"V7J8+3F9, Jl. Cikijing-Panjalu, Panjalu, Kec. Panjalu, Kabupaten Ciamis, Jawa Barat 46264",,"4,8",44,,Tidak Ada ,Tidak Tersedia,-7.1198315,108.2662373,Aksesibilitas Tersedia,[]
Masjid Agung,Masjid,"Sindangrasa, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46215",,"4,8",49,,Tidak Ada ,Tidak Tersedia,-7.3199695,108.3237655,Aksesibilitas Tersedia,[]
Masjid Jami Al-Ikhlash Warudoyong,Masjid,"V6F9+PR3, Sindangherang, Kec. Panumbangan, Kabupaten Ciamis, Jawa Barat 46263",,"4,7",20,,Tidak Ada ,Tidak Tersedia,-7.1257354,108.2195461,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Ittihad,Masjid,"Jl. Arah Panjalu - Kawali No.778, Payungsari, Kec. Panumbangan, Kabupaten Ciamis, Jawa Barat 46263",,"4,8",21,,Tidak Ada ,Tidak Tersedia,-7.1257158,108.2400781,Aksesibilitas Tersedia,[]
Masjid Jami Al Hidayah,Masjid,"M9P3+PG5, Jl. R. E. Martadinata, Mekarjaya, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46274",,"4,7",13,,Tidak Ada ,Tidak Tersedia,-7.3132399,108.3538742,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid An Nawawi,Masjid,"Jl. Bojonghuni No.218, RT.02/RW.13, Maleber, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46214",Buka 24 jam,"4,8",19,,Tidak Ada ,Tidak Tersedia,-7.3175667,108.3382608,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Subulussalam Desa Cimari,Masjid,"M7PP+PR2, Jalan Raya, Cimari, Cikoneng, Ciamis Regency, West Java 46261",Buka 24 jam,"4,7",203,"
0813-2027-7112",Ada,Tidak Tersedia,-7.3132257,108.2870205,Aksesibilitas Tersedia,[]
Masjid Al-Gani,Masjid,"Jl. Jend. Sudirman No.346, Imbanagara, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46215",Buka 24 jam,"4,8",647,"
0857-9783-1600",Ada,Tidak Tersedia,-7.3192127,108.3154378,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Annur Gandasari,Masjid,"P62J+XH5, Gunungcupu, Sindangkasih, Gunungcupu, Ciamis, Kabupaten Ciamis, Jawa Barat 46268",,"4,6",33,,Tidak Ada ,Tidak Tersedia,-7.2976133,108.2314762,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Citengah,Masjid,"V7WC+F97, Hujungtiwu, Kec. Panjalu, Kabupaten Ciamis, Jawa Barat 46264",,"4,5",60,,Tidak Ada ,Tidak Tersedia,-7.1038451,108.2709083,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Besar Panjalu,Masjid,"V789+3GX, Panjalu, Kec. Panjalu, Kabupaten Ciamis, Jawa Barat 46264",03.30 hingga 21.30,"4,7",81,,Tidak Ada ,Tidak Tersedia,-7.1347591,108.2688629,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Nurul Iman,Masjid,"M8J5+X5C, Jl. Nasional III, Imbanagara, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46219",,"4,6",99,,Tidak Ada ,Tidak Tersedia,-7.3175669,108.3078818,Aksesibilitas Tersedia,[]
Masjid Al Hanafiyah Puncak Asih Cisadap Ciamis Jawa Barat,Masjid,"Cisadap, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46215",,"4,6",17,,Tidak Ada ,Tidak Tersedia,-7.3068008,108.3153712,Aksesibilitas Tersedia,[]
Masjid Nusantara,Organisasi Nonprofit,"Jl. Parakan Asri No.11, Batununggal, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40266",08.00 hingga 17.00,"4,8",78,"
0853-6006-6665",Ada,Tersedia,-6.9505318,107.6300741,Aksesibilitas Tersedia,[]
Masjid Jariyatul Muslimin,Masjid,"P64H+2GV, Gunungcupu, Kec. Sindangkasih, Kabupaten Ciamis, Jawa Barat 46268",,"4,7",29,,Tidak Ada ,Tidak Tersedia,-7.2948764,108.2287917,Aksesibilitas Tersedia,[]
Masjid Besar Al-Ikhlas Tonjong,Masjid,"M8FW+J99, Ciamis, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46211",Buka 24 jam,"4,7",137,"
0831-1651-6420",Ada,Tersedia,-7.3259596,108.3459908,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
MASJID JAMI BAITURROHMAT,Masjid,"V98W+WGJ, Dusun Jl. Situ Gede, RT.06/RW.16, Sagalaherang, Kec. Panawangan, Kabupaten Ciamis, Jawa Barat 46255",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-7.3379532,108.1895263,Aksesibilitas Tersedia,[]
Masjid Agung Al-Mutakin,Masjid,"W86C+WF9, Sindanglaya, Kec. Sukamantri, Kabupaten Ciamis, Jawa Barat 46264",,"4,7",19,,Tidak Ada ,Tidak Tersedia,-7.0877102,108.3212254,Aksesibilitas Tersedia,[]
"Masjid AT-TAQWA Perum Kertasari, Ciamis",Masjid,"Jl. Sukalaksana I Perum Bumi Kertasari Blok 5-6, Sukamaju, Kec. Baregbeg, Kabupaten Ciamis, Jawa Barat 46274",Buka 24 jam,"4,7",29,,Tidak Ada ,Tidak Tersedia,-7.321302,108.3705853,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Baiturrahman,Masjid,"M986+FWM, Jl. Cibitunggirang, Kertasari, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46213",,"4,8",19,,Tidak Ada ,Tidak Tersedia,-7.3337825,108.3622829,Aksesibilitas Tersedia,[]
Masjid Agung Ciamis,Masjid,"Jl. Jend. Sudirman No.3, Ciamis, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46211",Buka 24 jam,"4,8",3.732,"
0823-2120-8319",Ada,Tidak Tersedia,-7.3267101,108.351081,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Masjid Jami Al Ikhlas,Masjid,"V895+35R, Bojong, Sukamulya, Rawa, Kec. Lumbung, Kabupaten Ciamis, Jawa Barat 46264",,"5,0",11,"
0823-2159-2525",Ada,Tidak Tersedia,-7.1322703,108.3078771,Aksesibilitas Tersedia,[]
Masjid Besar Miftahul Falah,Masjid,"W84Q+384, Lebakwangi, Mekarwangi, Kec. Sukamantri, Kabupaten Ciamis, Jawa Barat 46264",Buka 24 jam,"4,4",40,"
0812-7772-3355",Ada,Tidak Tersedia,-7.0948525,108.3383183,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Ikhlas,Masjid,"Q638+V6V, Sukasetia, Kec. Cihaurbeuti, Kabupaten Ciamis, Jawa Barat",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-7.2452523,108.2155329,Aksesibilitas Tersedia,[]
mesjid al falah ciputih,Masjid,"W68M+8P7, Ciputih, Tenggerraharja, Kec. Sukamantri, Kabupaten Ciamis, Jawa Barat 46264",,"4,0",2,"
0812-9638-3889",Ada,Tidak Tersedia,-7.0842112,108.2342885,Aksesibilitas Tersedia,[]
Masjid Jami Al Azkiya,Masjid,"M896+93Q, Panyingkiran, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46211",,"4,8",15,,Tidak Ada ,Tidak Tersedia,-7.3315299,108.3102238,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami Al-Ikhlas,Masjid,"Gg. Masjid Jami Al Ikhlas Jl. Jend. Sudirman No.330, Sindangrasa, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46215",Buka 24 jam,"4,8",9,"
0812-2037-2730",Ada,Tidak Tersedia,-7.3197327,108.3194457,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid At - Tohaeroh,Masjid,"M9CW+6JF, Jl. Ciamis - Banjar, Pamalayan, Kec. Cijeungjing, Kabupaten Ciamis, Jawa Barat 46271",,"4,8",49,,Tidak Ada ,Tidak Tersedia,-7.329444,108.3965618,Aksesibilitas Tersedia,[]
Masjid Jamie Al-Furqon,Masjid,"M7P5+VM6, Cipeucang, Wanasigra, Sindangkasih, Ciamis Regency, West Java 46268",,"4,4",14,,Tidak Ada ,Tidak Tersedia,-7.3128397,108.2591275,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Jami Al-Ittihad,Masjid,"Jl. Raya Kawali No.409, Selacai, Kec. Cipaku, Kabupaten Ciamis, Jawa Barat 46252",,"4,7",58,,Tidak Ada ,Tidak Tersedia,-7.2152678,108.383647,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Mesjid,Masjid,"M9C6+368, Jl. RTA. Sunarya, Kertasari, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46213",Buka 24 jam,"4,5",2,,Tidak Ada ,Tidak Tersedia,-7.3298261,108.3605814,Aksesibilitas Tersedia,[]
Biara Ursulin,Biara,"3JQM+94H, Jl. Supratman I, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114",,"4,7",62,"
(022) 7107208",Ada,Tidak Tersedia,-6.9115732,107.6328457,Aksesibilitas Tersedia,[]
Gereja Pantekosta Ciamis,Gereja Pantekosta,"Jl. Ir. H. Juanda No.231, Ciamis, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46211",,"4,4",16,,Tidak Ada ,Tidak Tersedia,-7.3271088,108.3555016,Aksesibilitas Tersedia,[]
Gereja Kristen Pasundan Jemaat Tasikmalaya,Gereja,"Jl. Selakaso No.53, Yudanagara, Kec. Cihideung, Kab. Tasikmalaya, Jawa Barat 46121",,"4,3",23,"
(0265) 332588",Ada,Tidak Tersedia,-7.329927,108.21759,Aksesibilitas Tersedia,[]
